,time_in_sec,Acceleration_vertical_axis(in G),Acceleration_lateral_axis(in G),id_of_antenna_reading,signal_strength_indicator(RSSI),Phase,Frequency,target
46,35.6,0.8704200000000001,0.11175,3,-57.0,6.0377,922.75,1
47,35.75,0.8704200000000001,0.11175,1,-65.5,4.5437,922.75,1
48,36.25,0.8704200000000001,0.11175,4,-60.0,4.5789,920.75,1
49,37.0,0.8704200000000001,0.11175,1,-58.5,1.985,921.75,1
50,37.75,0.29627,-0.013684,4,-67.0,1.0324,925.75,3
51,38.0,0.29627,-0.013684,3,-50.0,5.0928,923.75,3
52,38.1,0.29627,-0.013684,4,-67.0,5.7984,923.75,3
53,38.5,-0.07119600000000001,-0.10491,3,-53.0,0.47707,925.25,3
54,38.75,-0.28938,-0.03649,3,-50.5,0.046019,920.75,3
55,38.85,-0.28938,-0.03649,3,-52.0,0.9434,924.25,3
56,39.25,-0.27789,-0.059296,3,-50.5,5.6159,921.75,3
57,39.35,-0.27789,-0.059296,4,-64.5,1.6858,921.75,3
58,39.75,-0.20899,-0.15052,4,-67.5,4.5989,924.75,3
59,40.25,-0.27789,-0.070699,3,-51.5,1.0907,923.75,3
60,40.5,-0.19751,-0.16192,4,-65.5,0.37583,922.75,3
61,41.5,-0.19751,-0.16192,3,-50.0,0.13652,920.25,3
62,41.6,-0.19751,-0.16192,4,-66.5,6.0822,920.25,3
63,42.0,-0.34679,-0.013684,3,-51.0,4.4915,923.25,3
64,42.25,-0.19751,-0.16192,4,-68.0,1.2947,924.75,3
65,42.5,-0.19751,-0.16192,4,-65.5,0.80687,922.25,3
66,43.0,-0.34679,-0.025087,3,-50.5,4.7615,922.75,3
67,43.1,-0.34679,-0.025087,3,-50.5,4.7691,922.75,3
68,43.25,-0.19751,-0.17332999999999998,3,-50.5,5.7264,921.25,3
69,43.35,-0.19751,-0.17332999999999998,4,-65.5,1.8929,921.25,3
70,43.5,-0.18603,-0.15052,3,-50.5,6.0776,920.75,3
71,44.0,-0.20899,-0.17332999999999998,3,-50.5,0.1534,920.25,3
72,44.1,-0.20899,-0.17332999999999998,4,-67.5,6.0868,920.25,3
73,44.25,-0.20899,-0.17332999999999998,4,-66.0,1.4021,921.75,3
74,44.5,-0.19751,-0.16192,4,-69.0,4.513,924.75,3
75,44.75,-0.19751,-0.16192,3,-50.5,5.0468,922.25,3
76,45.75,-0.20899,-0.12771,3,-50.0,5.7417,921.25,3
77,45.85,-0.20899,-0.12771,4,-66.0,1.8623,921.25,3
78,46.0,-0.20899,-0.12771,3,-50.0,6.0945,920.75,3
79,46.25,-0.36976,-0.013684,4,-67.5,4.941,924.25,3
80,46.5,-0.18603,-0.15052,3,-50.0,5.3996,921.75,3
81,46.575,-0.18603,-0.15052,4,-66.0,1.3514,921.75,3
82,47.25,-0.23196,-0.11631,4,-66.0,0.8467600000000001,922.25,3
83,47.5,-0.23196,-0.11631,3,-51.5,1.0124,923.75,3
84,47.575,-0.23196,-0.11631,4,-67.0,5.4809,923.75,3
85,48.0,-0.19751,-0.17332999999999998,4,-66.5,0.23163000000000006,922.75,3
86,48.5,-0.30086,-0.047893,3,-50.5,6.0669,920.75,3
87,48.75,-0.17454,-0.17332999999999998,3,-52.5,0.75012,924.25,3
88,49.0,-0.33531,-0.0022806,4,-66.5,6.0163,920.25,3
89,49.1,-0.33531,-0.0022806,4,-65.5,1.3039,921.75,3
90,50.0,-0.18603,-0.16192,4,-66.5,5.3321,923.75,3
91,50.5,-0.19751,-0.15052,4,-65.5,1.8623,921.25,3
92,50.75,-0.19751,-0.15052,3,-50.5,6.0638,920.75,3
93,50.825,-0.19751,-0.15052,4,-66.0,5.4272,920.75,3
94,51.75,-0.30086,-0.03649,4,-66.0,5.8951,923.25,3
95,52.0,-0.30086,-0.03649,4,-68.0,4.3918,924.75,3
96,52.75,-0.17454,-0.15052,4,-65.5,0.21783,922.75,3
97,52.85,-0.17454,-0.15052,3,-50.5,5.6987,921.25,3
98,53.5,-0.20899,-0.11631,3,-50.5,6.0562,920.75,3
99,53.6,-0.20899,-0.11631,4,-67.5,4.8689,924.25,3
100,53.75,-0.20899,-0.11631,4,-66.5,5.9933,920.25,3
101,53.825,-0.20899,-0.11631,4,-65.5,1.2947,921.75,3
102,54.0,-0.17454,-0.16192,4,-66.5,5.8874,923.25,3
103,54.25,-0.17454,-0.16192,4,-68.5,4.3519,924.75,3
104,54.5,-0.17454,-0.16192,3,-50.5,5.01,922.25,3
105,55.0,-0.28938,-0.03649,4,-66.5,5.3337,923.75,3
106,55.25,-0.28938,-0.03649,3,-50.0,5.7202,921.25,3
107,55.325,-0.17454,-0.13912,3,-50.0,5.7171,921.25,3
108,55.5,-0.17454,-0.13912,4,-65.5,1.7794,921.25,3
109,56.0,-0.24344,-0.070699,4,-67.5,4.8428,924.25,3
110,56.25,-0.17454,-0.15052,3,-50.0,5.3643,921.75,3
111,56.5,-0.17454,-0.15052,4,-65.5,1.2824,921.75,3
112,57.25,-0.27789,-0.059296,3,-51.5,4.1233,923.75,3
113,57.35,-0.27789,-0.059296,4,-66.5,5.3444,923.75,3
114,57.5,-0.27789,-0.059296,3,-50.5,4.7063,922.75,3
115,58.5,-0.23196,-0.10491,4,-67.5,4.7968,924.25,3
116,58.75,-0.17454,-0.16192,3,-50.0,5.3827,921.75,3
117,58.825,-0.17454,-0.16192,4,-65.5,4.3964,921.75,3
118,59.25,-0.17454,-0.17332999999999998,4,-68.5,4.3565,924.75,3
119,60.25,-0.17454,-0.16192,3,-50.0,5.6788,921.25,3
120,60.5,-0.20899,-0.11631,4,-69.0,3.8748,925.25,3
121,61.75,-0.28938,-0.047893,4,-65.5,0.7992,922.25,3
122,62.25,-0.17454,-0.15052,3,-50.5,4.7461,922.75,3
123,62.5,-0.18603,-0.16192,3,-50.0,5.7125,921.25,3
124,62.6,-0.18603,-0.16192,4,-65.5,1.8546,921.25,3
125,62.75,-0.18603,-0.16192,4,-69.5,3.8856,925.25,3
126,63.0,-0.18603,-0.16192,4,-65.5,5.4963,920.75,3
127,63.75,-0.16305999999999998,-0.16192,3,-50.0,5.3597,921.75,3
128,63.825,-0.16305999999999998,-0.15052,4,-66.0,5.8982,923.25,3
129,64.0,-0.16305999999999998,-0.15052,4,-68.0,4.3381,924.75,3
130,64.25,-0.16305999999999998,-0.15052,3,-50.5,5.0207,922.25,3
131,64.75,-0.16305999999999998,-0.15052,3,-51.5,4.154,923.75,3
132,64.875,-0.17454,-0.16192,3,-50.5,4.7385,922.75,3
133,65.0,-0.17454,-0.16192,3,-50.5,4.7308,922.75,3
134,65.1,-0.28938,-0.03649,3,-50.0,5.6849,921.25,3
135,65.25,-0.28938,-0.03649,4,-65.0,1.8423,921.25,3
136,65.5,-0.28938,-0.03649,3,-50.0,6.0408,920.75,3
137,65.6,-0.17454,-0.17332999999999998,3,-50.0,6.0608,920.75,3
138,65.65,-0.17454,-0.17332999999999998,4,-67.5,1.7441,924.25,3
139,65.75,-0.17454,-0.17332999999999998,4,-66.0,6.0316,920.25,3
140,66.5,-0.17454,-0.16192,4,-68.0,4.3442,924.75,3
141,66.75,-0.17454,-0.16192,3,-50.5,5.01,922.25,3
142,67.5,-0.18603,-0.17332999999999998,3,-50.0,5.7003,921.25,3
143,67.6,-0.18603,-0.17332999999999998,4,-65.0,1.8392,921.25,3
144,67.75,-0.18603,-0.17332999999999998,3,-50.5,6.0485,920.75,3
145,68.0,-0.17454,-0.16192,4,-65.5,5.5162,920.75,3
146,68.525,-0.17454,-0.15052,3,-50.0,0.12732000000000002,920.25,3
147,68.6,-0.17454,-0.16192,3,-50.0,5.3567,921.75,3
148,68.65,-0.17454,-0.16192,4,-65.0,1.3622,921.75,3
149,69.0,-0.19751,-0.11631,4,-67.5,4.4363,924.75,3
150,69.25,-0.19751,-0.11631,4,-65.5,0.80994,922.25,3
151,70.0,-0.17454,-0.17332999999999998,3,-50.0,5.7141,921.25,3
152,70.1,-0.17454,-0.17332999999999998,4,-70.0,3.8902,925.25,3
153,71.625,-0.15158,-0.16192,3,-50.0,6.0638,920.75,3
154,71.725,-0.15158,-0.16192,4,-67.0,1.7242,924.25,3
155,71.775,-0.15158,-0.16192,4,-66.0,6.0454,920.25,3
156,71.825,-0.24344,-0.070699,3,-50.0,5.3674,921.75,3
157,71.85,-0.24344,-0.070699,3,-51.0,4.4424,923.25,3
158,72.25,-0.17454,-0.16192,4,-66.0,0.23163000000000006,922.75,3
159,72.5,-0.17454,-0.16192,3,-50.0,5.7125,921.25,3
160,72.6,-0.17454,-0.16192,4,-65.5,1.8684,921.25,3
161,73.5,-0.17454,-0.16192,4,-65.5,4.3995,921.75,3
162,73.75,-0.17454,-0.16192,4,-66.5,5.892,923.25,3
163,74.0,-0.17454,-0.16192,3,-49.0,5.9089,922.25,3
164,74.075,0.1355,-0.32157,3,-49.5,0.26538,922.25,3
165,74.125,0.1355,-0.32157,3,-49.5,0.42338,922.25,3
166,74.25,0.1355,-0.32157,3,-57.0,6.251,925.75,3
167,76.0,0.89339,0.043332,1,-59.0,5.734,923.25,1
168,76.5,0.89339,0.043332,1,-63.0,4.605,922.25,1
169,77.25,0.89339,0.043332,4,-57.0,0.48627,921.25,1
170,77.5,0.89339,0.043332,4,-58.0,0.25924,925.25,1
171,77.75,0.89339,0.043332,4,-57.5,0.10431,924.25,1
172,78.0,0.89339,0.043332,1,-61.5,4.3228,920.25,1
173,79.0,0.96229,-0.082102,1,-61.5,2.3378,922.25,1
174,80.0,1.0082,-0.12771,1,-62.0,0.8820399999999999,920.75,1
175,80.75,1.0082,-0.12771,1,-62.5,6.1911,921.75,1
176,81.0,1.0082,-0.12771,4,-57.0,4.7262,924.75,1
177,81.5,1.0082,-0.12771,1,-66.5,5.2447,925.75,1
178,82.25,0.99674,-0.082102,4,-57.5,1.0385,925.25,1
179,82.75,0.99674,-0.082102,1,-64.0,0.32674000000000003,924.25,1
180,83.25,0.99674,-0.082102,1,-62.5,1.3744,923.25,1
181,84.5,0.99674,-0.070699,4,-56.0,4.9425,921.25,1
182,84.75,0.99674,-0.070699,1,-66.0,5.6389,925.25,1
183,85.25,0.99674,-0.070699,4,-57.0,5.8997,920.25,1
184,86.5,0.89339,0.0091224,4,-57.0,5.4533,923.75,1
185,87.0,0.89339,0.0091224,4,-56.0,4.8811,921.25,1
186,87.75,0.97377,-0.059296,4,-57.0,5.892,920.25,1
187,88.25,0.97377,-0.059296,1,-63.0,1.3238,923.25,1
188,88.75,0.97377,-0.059296,4,-58.5,0.46173,925.75,1
189,89.75,0.97377,-0.082102,4,-57.5,0.90812,925.25,1
190,90.0,0.97377,-0.082102,4,-57.0,1.85,924.25,1
191,90.25,0.97377,-0.082102,1,-63.0,1.0922,920.25,1
192,90.75,0.97377,-0.082102,1,-65.0,6.1175,924.75,1
193,92.0,0.99674,-0.070699,4,-56.5,4.7799,921.25,1
194,92.5,0.99674,-0.070699,4,-57.5,1.7518,924.25,1
195,93.5,0.98526,-0.082102,1,-62.0,5.3981,922.25,1
196,94.25,0.98526,-0.082102,1,-62.0,1.8362,922.75,1
197,94.75,0.98526,-0.082102,4,-56.5,5.2938,920.75,1
198,95.0,0.98526,-0.082102,4,-57.0,4.9456,924.25,1
199,95.25,0.98526,-0.082102,4,-56.5,1.1183,921.75,1
200,96.0,1.0082,-0.11631,1,-62.5,5.3643,922.25,1
201,96.5,1.0082,-0.11631,4,-57.0,0.0061359,922.75,1
202,96.75,1.0082,-0.11631,1,-62.5,0.026078,921.25,1
203,97.25,1.0082,-0.11631,4,-57.0,4.8934,924.25,1
204,98.25,0.90487,0.0091224,4,-57.0,4.5053,924.75,1
205,98.5,0.90487,0.0091224,1,-62.0,2.2519,922.25,1
206,99.0,0.90487,0.0091224,1,-62.5,0.03835,921.25,1
207,99.5,0.90487,0.0091224,4,-56.5,5.1833,920.75,1
208,100.0,0.90487,0.0091224,1,-63.0,4.0697,920.25,1
209,101.25,0.99674,-0.10491,4,-56.5,5.3843,923.75,1
210,101.5,0.99674,-0.10491,4,-56.5,4.7860000000000005,921.25,1
211,102.0,0.99674,-0.10491,1,-63.0,0.58445,920.75,1
212,102.5,0.99674,-0.10491,4,-56.5,5.7187,920.25,1
213,103.25,0.93932,-0.025087,1,-62.5,5.5776,922.25,1
214,104.0,0.93932,-0.025087,1,-60.5,1.2026,922.75,4
215,106.75,0.89339,-0.17332999999999998,1,-48.5,2.1046,920.75,4
216,107.25,1.0082,-0.047893,1,-50.5,5.9411,920.25,4
217,111.5,0.99674,-0.059296,2,-58.5,0.99402,925.25,4
218,116.0,0.6752100000000001,-0.13912,2,-55.5,5.9841,921.25,2
219,116.5,0.6752100000000001,-0.13912,2,-55.5,6.2709,920.75,2
220,118.0,0.66373,-0.082102,2,-57.0,0.75625,925.75,2
221,120.5,0.64076,-0.093505,2,-57.5,0.7041,925.75,2
222,126.5,0.66373,-0.12771,2,-55.0,6.1375,920.75,2
223,127.0,0.66373,-0.12771,2,-56.0,5.6481,921.75,2
224,128.5,0.5489,-0.013684,2,-57.5,0.73631,925.25,2
225,130.25,0.66373,-0.12771,2,-58.0,0.6089899999999999,925.75,2
226,131.25,0.56038,-0.013684,2,-56.0,6.0562,920.75,2
227,132.75,0.6752100000000001,-0.15052,2,-56.0,1.3530000000000002,923.75,2
228,133.0,0.6752100000000001,-0.15052,2,-55.5,4.9977,922.75,2
229,135.0,0.6522399999999999,-0.10491,2,-57.5,0.46019,925.75,2
230,136.25,0.66373,-0.10491,2,-57.0,4.3212,924.25,2
231,137.25,0.66373,-0.10491,2,-57.0,1.0017,924.75,2
232,138.25,0.6292800000000001,-0.093505,2,-55.0,5.7754,921.25,2
233,139.0,0.6292800000000001,-0.093505,2,-55.5,0.03835,920.25,2
234,140.0,0.64076,-0.093505,2,-58.0,0.53996,925.75,2
235,140.5,0.64076,-0.093505,2,-56.0,1.9282,922.75,2
236,140.75,0.64076,-0.093505,2,-58.0,0.76085,925.25,2
237,141.25,0.64076,-0.093505,2,-57.0,1.1689,924.25,2
238,142.0,0.64076,-0.093505,2,-57.5,0.90198,924.75,2
239,142.25,0.64076,-0.093505,2,-58.0,0.4694,925.75,2
240,142.75,0.64076,-0.093505,2,-56.0,4.9594,922.75,2
241,143.0,0.64076,-0.093505,2,-56.0,5.7693,921.25,2
242,143.5,0.64076,-0.093505,2,-57.0,1.172,924.25,2
243,145.0,0.6292800000000001,-0.10491,2,-58.0,0.48627,925.75,2
244,146.0,0.6292800000000001,-0.093505,2,-57.0,4.22,924.25,2
245,146.75,0.6292800000000001,-0.093505,2,-57.5,0.90505,924.75,2
246,148.0,0.60631,-0.047893,2,-58.0,0.69489,925.25,2
247,148.5,0.60631,-0.047893,2,-56.5,1.1275,924.25,2
248,149.75,0.64076,-0.082102,2,-56.5,1.3637,923.75,2
249,150.5,0.64076,-0.082102,2,-58.0,0.7133,925.25,2
250,151.0,0.64076,-0.082102,2,-56.5,0.03835,920.25,2
251,152.5,0.5489,-0.013684,2,-56.0,4.9379,922.75,2
252,153.0,0.5489,-0.013684,2,-58.0,0.65961,925.25,2
253,153.5,0.5489,-0.013684,2,-56.5,0.0061359,920.25,2
254,155.28,0.6522399999999999,-0.10491,2,-58.0,0.69489,925.25,2
255,156.0,0.6522399999999999,-0.10491,2,-56.5,0.021476,920.25,2
256,157.25,0.64076,-0.070699,2,-56.5,4.5329,923.75,2
257,157.5,0.64076,-0.070699,2,-56.5,5.8307,921.25,2
258,158.0,0.64076,-0.070699,2,-56.5,6.0914,920.75,2
259,158.75,0.64076,-0.070699,2,-55.5,5.4809,921.75,2
260,159.75,0.64076,-0.10491,2,-57.0,1.3192,923.75,2
261,160.5,0.64076,-0.10491,2,-56.0,6.0331,920.75,2
262,162.25,0.6522399999999999,-0.10491,2,-56.5,1.8776,922.75,2
263,163.0,0.6522399999999999,-0.10491,2,-57.5,1.1198,924.25,2
264,163.5,0.6522399999999999,-0.10491,2,-56.0,5.6052,921.75,2
265,164.0,0.6522399999999999,-0.10491,2,-56.0,5.3260000000000005,922.25,2
266,164.5,0.6522399999999999,-0.10491,2,-56.0,5.0054,922.75,2
267,165.75,0.6292800000000001,-0.093505,2,-56.5,6.2786,920.25,2
268,166.25,0.6292800000000001,-0.093505,2,-56.0,4.6955,923.25,2
269,166.5,0.6292800000000001,-0.093505,2,-56.0,5.1895,922.25,2
270,168.0,0.64076,-0.093505,2,-57.0,1.1321,924.25,2
271,168.5,0.64076,-0.093505,2,-56.5,1.5769,923.25,2
272,169.0,0.64076,-0.093505,2,-56.0,5.191,922.25,2
273,169.5,0.64076,-0.093505,2,-56.5,4.4225,923.75,2
274,178.75,0.6292800000000001,-0.10491,2,-57.0,0.15033,925.75,2
275,184.5,0.6866899999999999,-0.13912,2,-56.5,0.33748,925.25,2
276,186.0,0.64076,-0.11631,2,-54.0,4.9256,922.25,2
277,193.0,0.66373,-0.13912,2,-56.5,0.474,924.75,2
278,194.5,0.66373,0.020525,2,-55.0,5.6159,924.25,4
279,196.25,0.93932,-0.16192,2,-57.0,6.1543,923.75,4
280,198.25,0.93932,-0.16192,1,-66.5,0.51695,922.25,4
281,199.5,0.98526,-0.25315,4,-59.0,0.72864,924.25,1
282,199.75,0.98526,-0.25315,4,-60.5,5.6834,920.25,1
283,200.25,0.98526,-0.25315,3,-57.0,0.18715,923.25,1
284,200.33,0.98526,-0.25315,3,-58.0,1.6045,924.75,1
285,200.75,0.26182,-0.13912,3,-52.0,5.5776,925.75,3
286,201.0,-0.15158,-0.12771,1,-61.5,5.8537,923.75,3
287,201.53,-0.25493000000000005,-0.03649,1,-58.5,4.5605,921.25,3
288,202.25,-0.31234,0.077541,1,-60.5,5.5070000000000014,920.25,3
289,203.25,-0.32383,0.043332,1,-67.0,0.3252,925.75,3
290,204.25,-0.28938,-0.059296,1,-60.5,4.9962,920.75,3
291,205.25,-0.36976,0.0091224,1,-64.5,4.3442,924.75,3
292,206.0,-0.38124,0.020525,1,-61.5,6.1804,922.75,3
293,206.25,-0.38124,0.020525,1,-60.5,4.5268,921.25,3
294,208.0,-0.26641,-0.082102,1,-61.0,0.38503,922.25,3
295,208.75,-0.26641,-0.082102,1,-60.0,4.5636,921.25,3
296,209.0,-0.26641,-0.082102,1,-66.0,0.7639199999999999,925.25,3
297,210.0,-0.28938,-0.059296,1,-62.0,2.5679,923.25,3
298,211.75,-0.18603,-0.12771,3,-49.0,6.0945,924.25,3
299,211.85,-0.18603,-0.12771,3,-49.0,6.0654,924.25,3
300,212.25,-0.18603,-0.12771,3,-48.5,1.4174,921.75,3
301,212.35,-0.33531,0.020525,3,-48.5,0.18868,923.25,3
302,212.5,-0.23196,-0.10491,1,-65.5,0.11045,923.25,3
303,212.75,-0.23196,-0.10491,1,-68.5,1.7303,924.75,3
304,213.0,-0.18603,-0.13912,3,-50.0,4.9225,925.75,3
305,213.08,-0.18603,-0.13912,3,-50.0,4.9103,925.75,3
306,213.25,-0.19751,-0.12771,3,-49.5,6.2234,923.75,3
307,213.5,-0.22048,-0.11631,1,-66.5,0.71023,922.75,3
308,213.75,-0.22048,-0.11631,1,-66.5,5.3689,921.25,3
309,213.83,-0.22048,-0.11631,3,-51.0,5.6205,925.25,3
310,214.25,-0.28938,-0.013684,3,-50.0,6.2586,924.25,3
311,214.75,-0.18603,-0.13912,1,-66.0,6.0592,923.25,3
312,215.0,-0.18603,-0.13912,1,-65.0,1.1305,924.75,3
313,215.25,-0.18603,-0.13912,1,-65.5,0.38196,922.25,3
314,215.75,-0.30086,-0.03649,3,-48.5,6.2663,923.75,3
315,217.25,-0.19751,-0.12771,3,-48.5,6.274,923.25,3
316,217.5,-0.27789,-0.025087,3,-48.5,5.1496,924.75,3
317,217.75,-0.19751,-0.093505,3,-49.5,4.4976,925.75,3
318,218.0,-0.18603,-0.13912,3,-48.5,5.8552,923.75,3
319,218.75,-0.19751,-0.11631,3,-49.0,4.7891,925.25,3
320,220.0,-0.19751,-0.12771,3,-49.0,5.1542,924.75,3
321,220.25,-0.20899,-0.10491,3,-49.5,4.5237,925.75,3
322,221.0,-0.19751,-0.093505,3,-49.5,4.9256,925.25,3
323,222.75,-0.18603,-0.10491,3,-50.0,4.5437,925.75,3
324,224.25,-0.26641,-0.03649,3,-49.5,1.1643,921.75,3
325,224.5,-0.19751,-0.11631,3,-49.0,6.277,923.25,3
326,225.0,-0.18603,-0.11631,3,-49.5,4.5789,925.75,3
327,225.25,-0.19751,-0.11631,3,-49.0,5.912000000000001,923.75,3
328,225.5,-0.27789,-0.047893,3,-49.0,0.43565,922.75,3
329,225.75,-0.23196,-0.082102,3,-50.0,1.5018,921.25,3
330,226.5,-0.19751,-0.12771,3,-49.5,5.5361,924.25,3
331,227.75,-0.24344,-0.082102,3,-50.0,4.5697,925.75,3
332,227.85,-0.24344,-0.082102,3,-50.0,4.5667,925.75,3
333,228.5,-0.26641,-0.025087,3,-50.0,4.9394,925.25,3
334,228.58,-0.26641,-0.025087,3,-49.5,4.9824,925.25,3
335,229.0,-0.19751,-0.11631,3,-52.0,5.3827,920.25,3
336,230.0,-0.26641,-0.03649,3,-50.0,4.582,925.75,3
337,230.5,-0.19751,-0.11631,3,-49.5,0.44792,922.75,3
338,231.25,-0.19751,-0.11631,3,-49.5,5.5668,924.25,3
339,231.5,-0.19751,-0.10491,3,-50.0,1.2103,921.75,3
340,231.75,-0.19751,-0.10491,3,-50.0,1.1934,921.75,3
341,232.0,-0.18603,-0.12771,3,-49.5,5.2002,924.75,3
342,232.5,-0.18603,-0.10491,3,-50.0,4.6035,925.75,3
343,234.25,-0.35827,0.031928,3,-49.5,1.2026,921.75,3
344,234.5,-0.20899,-0.10491,3,-49.0,5.2186,924.75,3
345,234.75,-0.27789,-0.03649,3,-49.0,0.8636299999999999,922.25,3
346,235.0,-0.24344,-0.047893,3,-49.0,5.9488,923.75,3
347,235.25,-0.18603,-0.11631,3,-49.0,0.47247,922.75,3
348,235.5,-0.19751,-0.10491,3,-50.0,1.58,921.25,3
349,235.75,-0.19751,-0.10491,3,-49.0,4.9057,925.25,3
350,235.85,-0.19751,-0.12771,3,-49.0,4.8857,925.25,3
351,236.25,-0.19751,-0.11631,3,-51.5,5.3321,920.25,3
352,236.5,-0.19751,-0.10491,3,-49.5,1.2057,921.75,3
353,237.0,-0.26641,-0.025087,3,-49.0,5.2002,924.75,3
354,237.08,-0.26641,-0.025087,3,-49.5,0.8268200000000001,922.25,3
355,237.25,-0.19751,-0.11631,3,-49.5,0.8360200000000001,922.25,3
356,237.35,-0.19751,-0.11631,3,-50.0,4.5498,925.75,3
357,237.5,-0.19751,-0.12771,3,-50.0,4.5406,925.75,3
358,237.6,-0.19751,-0.12771,3,-49.0,5.9242,923.75,3
359,237.63,-0.19751,-0.12771,3,-49.0,5.9426,923.75,3
360,238.0,-0.20899,-0.11631,3,-50.0,1.5493,921.25,3
361,238.5,-0.32383,0.0091224,3,-49.0,5.5515,924.25,3
362,238.75,-0.32383,0.0091224,3,-49.0,5.5469,924.25,3
363,239.75,-0.22048,-0.082102,3,-49.5,4.5467,925.75,3
364,240.5,-0.19751,-0.12771,3,-49.0,4.8627,925.25,3
365,241.25,-0.19751,-0.12771,3,-51.0,2.1767,920.25,3
366,241.5,-0.31234,-0.0022806,3,-49.0,0.053689,923.25,3
367,241.75,-0.19751,-0.11631,3,-49.0,5.1803,924.75,3
368,242.0,-0.19751,-0.11631,3,-49.0,0.80994,922.25,3
369,243.0,-0.19751,-0.11631,3,-49.5,4.8504,925.25,3
370,243.5,-0.20899,-0.10491,3,-49.0,5.5361,924.25,3
371,244.0,-0.30086,-0.013684,3,-49.0,0.0061359,923.25,3
372,244.25,-0.18603,-0.10491,3,-49.5,6.2663,923.25,3
373,244.35,-0.20899,-0.082102,3,-49.5,0.76852,922.25,3
374,244.5,-0.28938,-0.03649,3,-49.5,0.75012,922.25,3
375,244.58,-0.28938,-0.03649,3,-50.0,4.4746,925.75,3
376,244.75,-0.19751,-0.11631,3,-50.0,4.49,925.75,3
377,245.0,-0.19751,-0.10491,3,-49.0,5.8782,923.75,3
378,245.08,-0.19751,-0.11631,3,-49.0,0.38503,922.75,3
379,245.25,-0.19751,-0.11631,3,-50.0,1.4788,921.25,3
380,245.33,-0.19751,-0.11631,3,-50.0,1.4788,921.25,3
381,246.0,-0.24344,-0.03649,3,-51.5,5.2155,920.25,3
